Unnamed: 0,title,date,stock,sentiment
1060700.0,"Qumu Sees FY17 Sales $28M-$28.4M vs $29.6M Est., EPS From $(1.05)-$(1.00) To $(1.29)-$(1.25) vs $(1.04) Est.",2018-02-09 16:54:00-05:00,QUMU,neutral
1060701.0,"Qumu Sees Q4 Sales $7M-$7.4M vs $9M Est., EPS Reduced From $(0.15)-$(0.10) To $(0.38)-$(0.34) vs $(0.13) Est.",2018-02-09 16:53:00-05:00,QUMU,neutral
1060702.0,Qumu Names David Ristow CFO,2017-12-18 09:07:00-05:00,QUMU,neutral
1060703.0,Qumu Appoints David Ristow Interim CFO,2017-11-01 17:33:00-04:00,QUMU,neutral
1060704.0,"Qumu Announces Departure of Chief Financial Officer Peter Goepfrich, Will Engage Search Firm To Recruit Successor CFO",2017-10-24 16:30:00-04:00,QUMU,positive
1060705.0,"Qumu Sees FY17 EPS $(1.02)-$(0.87) vs $(0.96) Est., Sales $31M-$34M vs $31.2M Est.",2017-08-01 16:12:00-04:00,QUMU,neutral
1060706.0,"Qumu Sees Q3 EPS $(0.21)-$(0.16) vs $(0.21) Est., Sales $7.5M-$8.5M vs $8M Est.",2017-08-01 16:12:00-04:00,QUMU,neutral
1060707.0,"Qumu Reports Q2 EPS $(0.28) vs $(0.29) Est., Sales $6.7M vs $7.1M Est.",2017-08-01 16:11:00-04:00,QUMU,neutral
1060708.0,"Qumu Sees Q2 EPS $(0.33)-$(0.28) vs $(0.31) Est., Adj. EBITDA Loss $1.6M-$1.1M; Sees FY17 Sales $31M-$34M vs $32M Est.",2017-05-02 18:06:00-04:00,QUMU,negative
1060709.0,"Qumu Reports Q1 EPS $(0.39) vs $(0.38) Est., Sales $6.711M vs $7.3M Est.",2017-05-02 16:25:00-04:00,QUMU,neutral
1060710.0,"Qumu Sees FY17 Sales $31M-$34M vs $38M Est., EPS $(1.12)-$(0.97)",2017-02-28 16:15:00-05:00,QUMU,neutral
1060711.0,"Qumu Sees Q1 Sales $7M-$8M vs $8.3M Est., EPS $(0.39)-$(0.34) vs $(0.27) Est., Adj. EBITDA $(2.2M)-$(1.7M)",2017-02-28 16:14:00-05:00,QUMU,neutral
1060712.0,"Qumu Reports Q4 Adj. EBITDA $800K, Sales $9.3M vs $10M Est., EPS $(0.04)",2017-02-28 16:14:00-05:00,QUMU,neutral
1060713.0,"Ladenburg Thalmann Downgrades Qumu to Neutral, Removes $12.00 PT",2015-10-19 11:44:00-04:00,QUMU,neutral
1060714.0,Qumu Partners with Fujitsu,2015-06-25 04:17:00-04:00,QUMU,neutral
1060715.0,Qumu Announces Next Generation Mobile Apps; Integration With Citrix XenMobile EMM,2015-05-12 04:32:00-04:00,QUMU,neutral
1060716.0,Qumu Names Peter Goepfrich as CFO,2015-04-30 06:34:00-04:00,QUMU,neutral
1060717.0,Qumu Cloud Video Solutions Powered byIBM Cloud,2015-04-30 04:35:00-04:00,QUMU,positive
1060718.0,Qumu Names Sumit Rai as Chief Experience Officer,2015-01-07 04:57:00-05:00,QUMU,neutral
1060719.0,"Qumu Corp. Reports Q3 EPS of $0.99; Revenue of $5.85M, Up 34% YOY",2014-10-29 16:52:00-04:00,QUMU,neutral
1060720.0,Qumu Acquires Kulu Valley ,2014-10-06 06:33:00-04:00,QUMU,neutral
1060721.0,Qumu Corp. Reports Q1 EPS of $(0.45) vs $(0.42) Est; Revenue of $18.80M vs $18.85M Est,2014-04-28 16:02:00-04:00,QUMU,neutral
1060722.0,Qumu Awarded $9.5M Video-as-a-Service Contract ,2014-03-06 06:20:00-05:00,QUMU,positive
1060723.0,Qumu Appoints Dan Fishback to its Board of Directors,2013-12-11 16:02:00-05:00,QUMU,neutral
1060724.0,Qumu Announces Qumu Video App for SharePoint 2013 ,2013-12-04 05:53:00-05:00,QUMU,neutral
